channel_name,v3_mean_attention_weight,rf_channel_importance,pearson_all_channels,spearman_all_channels
s0_ax,0.08628328825715774,0.06251912329751279,0.6360708838605706,0.3869969040247678
s0_ay,0.2540414253520511,0.021922212712063835,0.6360708838605706,0.3869969040247678
s0_az,0.010769867289535695,0.09323461697327154,0.6360708838605706,0.3869969040247678
s0_gx,0.0035477162118816826,0.009515297210643887,0.6360708838605706,0.3869969040247678
s0_gy,0.003685687685101584,0.04267578054519338,0.6360708838605706,0.3869969040247678
s0_gz,0.002672203367594395,0.015467542388079545,0.6360708838605706,0.3869969040247678
s1_ax,0.32268300898816155,0.29770686614274855,0.6360708838605706,0.3869969040247678
s1_ay,0.04224282316454871,0.02601323128356063,0.6360708838605706,0.3869969040247678
s1_az,0.0781479469264741,0.05450122482865084,0.6360708838605706,0.3869969040247678
s1_gx,0.005859700005025338,0.0649029865768299,0.6360708838605706,0.3869969040247678
s1_gy,0.0041958012707295385,0.049722037866316696,0.6360708838605706,0.3869969040247678
s1_gz,0.003287204384323559,0.031192303573683078,0.6360708838605706,0.3869969040247678
s2_ax,0.06732248701232796,0.021451749099807953,0.6360708838605706,0.3869969040247678
s2_ay,0.06455310377806503,0.02294393523975841,0.6360708838605706,0.3869969040247678
s2_az,0.042063570050571195,0.05045409529372302,0.6360708838605706,0.3869969040247678
s2_gx,0.003201881126195884,0.02054057818826635,0.6360708838605706,0.3869969040247678
s2_gy,0.002957736462075344,0.09645199343259281,0.6360708838605706,0.3869969040247678
s2_gz,0.0024845490138189538,0.018784425347296792,0.6360708838605706,0.3869969040247678
